UID,Product Name,Price,Original Prices,Discount rates,Stock
1,Writing Fun-Set of 4 Books,108.0,299.0,63% off,10
2,Death; An Inside Story,239.0,299.0,20% off,12
3,Pathfinder Nda/Na National Defence Academy & Naval Acad...,630.0,775.0,18% off,13
4,Attitude Is Everything: Change Your Attitude ... Change...,131.0,199.0,34% off,12
5,25 Years Upsc IAS/ Ips Prelims Topic-Wise Solved Papers...,290.0,525.0,44% off,13
6,Cbse Chapterwise Solved Papers 2019-2020 Physics Class ...,231.0,300.0,23% off,24
7,Concepts of Phyics: v. 1,415.0,430.0,3% off,29
8,My First Library - Boxset of 10 Board Books,499.0,899.0,44% off,23
9,Indian Polity 5 Edition,581.0,800.0,27% off,23
10,Alchemist,155.0,195.0,20% off,9
11,Nta UGC Paper 1 Teaching and Research Aptitude,359.0,449.0,20% off,3
12,Man's Search For Meaning: The classic tribute to hope f...,199.0,299.0,33% off,0
13,Indian Art and Culture,526.0,695.0,24% off,6
14,Rich Dad Poor Dad,203.0,299.0,32% off,9
15,The Girl in Room 105,119.0,199.0,40% off,18
16,Life's Amazing Secrets,190.0,250.0,24% off,28
17,Atomic Habits,432.0,699.0,38% off,13
18,Objective General English,203.0,285.0,28% off,9
19,The Monk Who Sold His Ferrari,137.0,225.0,39% off,3
20,Word Power Made Easy - The Complete Handbook for Buildi...,140.0,175.0,20% off,0
21,Wish I Could Tell You,159.0,199.0,20% off,6
22,NCERT Flamingo And Vistas Supplementary Reader Textbook...,89.0,100.0,11% off,9
23,You Can Win,245.0,399.0,38% off,18
24,Cbse Chemistry Chapterwise Solved Papers Class 12 2019-...,197.0,275.0,28% off,25
25,Trueman's Biology,200.0,250.0,20% off,15
26,True,34.0,34.0,34% off,34
27,half girlfriend ,200.0,100.0,15% off,12
